Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, t
Dark Horizon,Lost Signal,Iron Heart,Twin Souls,Plain Sight,True Edge
505,593,476,362,310,695
554,626,470,532,436,724
427,507,518,407,482,603
470,740,555,471,525,624
646,596,545,495,442,732
513,693,690,438,512,694
474,484,461,354,520,567
575,566,626,186,624,561
210,572,606,300,374,555
567,465,515,495,350,492
616,496,453,472,371,407
556,380,609,361,215,697
577,587,571,521,457,748
492,374,553,629,462,336
636,465,421,519,275,741
623,633,469,433,376,550
544,671,372,540,437,71
600,467,427,504,325,386
478,685,381,138,379,730
502,496,537,552,497,578
596,693,459,406,539,679
678,552,469,681,424,146
354,456,678,439,518,684
576,773,403,406,450,563
590,698,518,274,217,556
419,471,509,542,326,618
591,501,578,348,384,476
645,663,477,381,328,657
345,513,543,595,532,697
529,605,616,371,331,550
490,650,670,52,405,311
582,546,541,594,503,630
497,491,545,580,449,345
569,379,563,417,566,531
541,731,373,323,395,634
566,638,565,390,371,573
424,86,621,162,305,552
529,510,512,128,513,565
439,662,348,562,502,538
377,521,446,547,389,571
574,715,614,420,401,633
561,494,449,540,321,634
645,528,254,372,387,616
669,652,491,435,505,664
565,568,447,306,456,599
196,542,407,383,522,506
528,430,529,501,418,627
640,613,608,366,451,478
553,642,573,526,430,525
446,655,683,319,441,530
284,626,464,474,476,453
607,511,507,312,442,581
729,712,449,513,394,635
525,498,543,641,504,661
356,538,633,510,330,589
433,532,504,422,593,629
619,705,497,455,471,530
472,630,525,522,291,739
452,568,595,573,383,408
729,647,503,545,461,543
676,675,505,596,5,515
466,469,536,583,401,577
287,621,679,465,428,658
640,441,554,364,431,516
642,597,485,549,313,569
562,272,526,553,478,672
469,464,474,406,456,665
588,453,558,466,504,505
555,520,519,417,275,509
512,782,586,556,191,663
259,578,508,496,236,681
551,533,709,608,637,557
700,482,469,557,457,637
598,502,497,432,322,682
504,581,537,501,465,500
444,724,532,605,512,548
237,631,484,428,359,546
408,585,413,508,553,629
521,583,465,400,534,436
383,715,571,518,338,586
485,336,481,417,448,660
539,326,472,577,388,676
509,598,480,658,509,725
637,440,506,444,377,573
555,711,684,572,400,432
572,575,585,475,215,651
596,538,647,411,373,572
591,629,500,542,479,471
612,533,540,450,430,455
553,476,554,262,444,693
582,513,458,393,385,360
573,504,523,528,387,369
663,599,260,551,615,599
311,623,396,390,523,206
647,368,750,568,420,756
535,621,662,325,422,371
421,602,519,386,445,544
582,593,525,384,391,615
530,455,504,545,535,580
552,606,633,558,572,504
696,444,643,473,133,502
538,641,546,459,417,654
644,604,548,457,343,412
563,506,195,354,407,441
374,510,484,661,375,395
610,465,550,663,402,665
538,512,612,521,388,718
595,532,645,528,457,714
609,398,810,366,230,578
572,437,681,528,325,740
617,614,312,436,522,610
465,325,496,539,421,485
509,376,562,608,415,564
522,398,562,494,265,592
590,497,705,417,412,502
633,464,577,602,447,644
514,719,539,573,635,618
