Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Fairmont,Westport,Zephyr,Ironwood
52841,47714,51705,50976
37721,55230,48640,52082
53869,55270,51525,60493
41399,65132,49234,40335
48332,39044,42019,64139
58260,30779,51381,51018
42315,54093,40239,58660
47598,36237,67416,50095
29194,64549,58999,45563
47907,74001,46569,56387
50527,36959,46288,37948
47141,50510,54042,46272
47151,52887,49053,50886
59609,40344,67391,49998
50477,67216,51272,64912
37879,51058,56425,37357
40746,52744,59383,64648
47265,54199,49352,39924
39854,51087,66456,51608
54545,47273,47442,48227
63586,52175,45242,59526
50350,62742,57013,41508
44066,58817,29942,37867
52569,41953,79253,50693
46306,64853,51118,47434
52664,47112,49635,50837
59413,62051,43707,62517
57957,59539,17566,61108
56107,47513,52699,55824
36319,41972,42514,50801
56042,50275,58230,42821
44139,48296,37642,49853
40000,47344,60670,44623
57258,51703,39695,62050
37721,54722,47449,52118
51165,30813,64904,57925
54308,49645,37446,50727
34120,57803,40091,40668
52177,57740,51422,50638
43846,69539,61502,37674
60895,57747,28906,68538
53785,57734,50628,76904
44363,82834,29301,44450
61065,42720,49587,49067
29808,37139,55610,44152
43088,62075,45032,71690
54774,57968,33197,33093
40075,60593,48523,46655
46060,58276,35028,57538
51453,39167,62423,49440
31664,48723,53734,48883
47583,55424,26700,50935
41051,40420,62800,60776
41839,58942,53581,52358
50818,40181,50783,56689
51213,63829,37109,47438
65012,69352,35190,56495
49813,46157,40160,55927
37203,55435,62350,54618
46363,45240,54421,45965
54383,47927,55381,42216
60782,93943,42795,42781
83662,48010,64208,19920
49570,36897,51282,52264
52508,56174,46683,46889
54708,77240,49220,40166
45367,54728,33936,50246
57677,57396,44869,40764
52476,94014,68277,60792
48135,44164,48691,45838
51616,49613,55663,53888
61718,47872,54126,56203
51154,49831,51105,54077
45613,78779,48878,59924
48623,61464,51651,60618
73892,38497,60473,46898
34253,55609,55887,52617
56773,46020,44715,33357
54164,66736,39579,35397
37729,52896,58448,44198
55966,60648,62600,51002
42625,52605,46446,57621
40083,51887,51229,34149
53188,74466,52437,62443
45260,59461,53706,43604
52088,45904,35766,46498
64080,48578,46593,52659
46381,59065,46849,47117
48271,40160,46923,52466
42940,56795,64903,33922
57415,42342,45509,56100
55509,53519,55662,53025
51912,63667,55827,48804
51711,43821,44176,43217
48604,43357,57635,64252
39550,87812,64035,46565
56921,48269,42953,56862
47616,35847,51226,51693
76660,29329,37128,52345
52407,59766,52882,48103
41928,59322,28807,47111
40855,50308,49923,45834
37318,51834,39068,77527
59351,52460,41051,48071
54552,57263,55148,48077
52647,64880,63536,43251
50847,45946,60269,52590
48605,47056,51932,55179
54898,44066,36094,35685
54139,58771,54980,50222
46500,60645,58593,55548
57474,68365,50165,73701
60719,67513,63559,60718
55452,59603,50096,43639
58090,40087,50082,60519
55268,34634,58561,47617
46900,78772,57199,63240
51039,47101,56709,47302
57408,54915,33124,44697
48626,48397,52410,64231
