Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, skewed
Steak Houses,Buffet Restaurants,Vegetarian Restaurants,Coffee Shops
353,306,832,1017
1127,464,538,695
448,551,466,238
870,285,1477,157
278,242,598,499
408,774,1345,389
996,196,559,374
557,522,494,523
657,291,768,460
912,257,646,489
847,315,485,521
442,1131,638,214
220,498,358,211
666,404,539,293
930,289,494,199
706,637,512,267
681,744,687,914
1310,207,700,354
720,636,924,703
1028,517,1008,520
734,545,231,531
927,667,198,481
1432,380,1543,313
299,269,1411,382
445,444,839,508
311,492,513,751
664,404,262,228
897,349,381,344
630,913,418,344
807,1091,660,417
456,739,1095,617
781,339,301,968
1430,949,471,696
736,1377,636,630
477,745,366,151
699,655,712,172
939,308,490,443
230,226,530,720
713,640,178,625
508,1209,501,294
715,395,1121,232
582,701,1299,594
786,318,526,636
1021,295,1227,261
834,288,1359,264
1746,327,464,509
348,507,363,241
239,850,1037,644
470,340,673,230
341,532,396,705
647,314,753,323
576,428,1353,250
766,915,841,484
1281,723,400,495
843,757,787,524
260,453,490,867
409,375,668,216
401,552,515,210
752,428,141,359
1320,914,218,403
466,277,741,704
345,435,982,493
308,512,245,218
484,746,718,831
667,275,504,307
381,466,706,485
950,350,722,364
768,742,896,679
557,483,234,537
950,705,377,424
845,738,392,433
288,304,773,395
702,275,463,290
1065,803,139,491
698,181,714,204
730,373,555,507
571,831,664,728
748,771,578,421
975,587,567,373
782,273,292,409
459,425,654,963
1132,826,314,446
709,189,447,518
707,321,470,579
530,234,899,353
739,514,1064,441
963,335,150,558
1488,825,249,380
670,475,1530,634
760,304,625,348
699,352,675,704
1386,486,709,235
418,812,699,240
943,374,817,421
1137,722,339,570
738,890,510,625
725,367,855,726
565,525,705,574
748,381,1349,460
517,650,1415,257
411,195,432,418
329,132,1234,362
1166,557,878,773
458,265,440,742
603,647,605,424
672,921,1019,1041
774,475,488,623
857,197,381,584
367,702,1342,298
1492,329,179,689
1288,642,908,747
1165,410,443,492
824,462,634,392
1598,583,820,528
1192,503,716,330
221,528,551,517
812,638,226,350
1395,261,716,710
