Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, normal
Italian Restaurants,Sushi Restaurants,Bars & Pubs,Fast Food Chains
529,912,742,249
421,577,352,603
663,658,699,654
538,537,549,401
700,619,499,215
359,891,137,461
609,809,258,590
815,412,367,221
174,819,454,582
571,854,645,422
830,703,608,558
486,648,643,555
598,520,426,468
247,681,484,567
611,795,287,385
532,1058,186,355
405,823,281,378
648,803,436,544
246,609,572,706
705,783,291,643
178,418,734,734
455,752,573,427
451,469,309,645
338,455,746,519
536,879,525,518
565,413,451,405
774,279,206,241
247,683,548,410
549,137,558,547
630,653,359,459
713,851,817,539
471,574,432,286
531,575,187,115
568,672,546,409
499,467,551,536
240,601,392,231
813,755,378,508
430,1005,283,459
610,593,504,624
586,600,574,346
370,546,410,503
177,903,614,344
277,615,376,377
645,881,582,424
670,430,443,584
341,819,245,325
338,666,368,465
645,467,444,306
500,614,249,267
342,1209,233,169
735,343,665,562
409,563,817,607
703,241,320,398
486,408,258,283
395,346,703,651
708,892,467,681
518,488,769,402
679,603,471,717
305,251,514,533
284,561,388,414
417,376,424,548
739,183,575,573
570,581,462,489
492,670,626,430
620,304,333,222
698,657,572,571
748,253,508,428
393,612,513,361
536,608,290,447
382,464,408,451
622,419,254,384
453,730,604,478
681,597,268,226
215,542,447,200
599,199,564,382
588,765,7,420
701,640,262,381
389,733,460,453
321,627,119,282
482,388,532,400
487,656,647,719
101,346,391,567
446,373,403,501
245,495,493,356
582,580,384,505
622,496,415,395
429,600,250,520
445,569,133,503
593,535,714,550
416,544,402,179
585,926,397,357
338,608,495,585
742,594,401,744
667,374,580,418
627,195,434,310
448,669,213,353
521,835,596,354
477,303,403,428
417,836,587,415
375,734,596,418
738,281,349,408
558,447,378,612
507,376,265,209
199,429,287,705
384,146,203,165
802,686,110,244
367,290,457,244
260,978,317,231
429,355,578,372
527,567,226,308
409,680,288,455
684,784,504,326
475,1019,294,368
715,799,541,211
693,710,441,503
255,319,568,404
74,429,514,281
