Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, t
Lost Signal,Nightfall,Last Ember
606,792,416
367,758,586
224,624,544
152,736,316
403,638,537
553,728,625
581,712,638
379,600,591
84,673,664
454,722,602
603,590,467
414,512,549
409,715,618
473,554,559
452,653,784
321,627,557
547,702,640
453,580,600
503,607,663
318,614,478
585,760,571
492,683,655
444,586,824
387,712,655
414,655,570
365,673,653
419,569,468
329,673,584
379,707,530
580,725,891
475,637,598
544,669,546
520,804,619
405,646,738
555,566,744
344,569,570
374,531,186
457,725,678
281,798,491
279,699,562
607,681,320
445,641,662
190,597,561
439,683,502
556,482,402
567,695,542
393,358,708
436,355,346
456,675,729
497,665,720
323,737,561
203,620,509
360,678,716
236,615,656
231,719,622
480,652,552
484,712,670
400,598,396
404,581,784
629,648,681
346,640,714
481,620,586
226,738,634
374,776,555
204,605,436
552,513,692
227,605,622
543,693,501
320,539,663
564,388,554
581,780,383
369,662,674
525,593,532
445,649,548
557,688,491
550,656,614
381,640,539
331,800,382
425,724,528
414,619,592
490,594,553
392,583,535
505,538,510
190,765,698
466,569,767
127,738,406
237,599,638
343,637,711
446,696,677
479,712,694
633,683,597
528,550,633
381,698,569
371,611,693
334,649,622
383,777,699
384,698,577
393,673,396
437,478,557
398,644,529
500,756,578
467,618,570
504,769,557
448,684,584
401,419,513
205,150,578
329,461,518
487,794,768
473,586,231
297,767,449
506,553,695
421,557,500
484,738,357
257,537,648
416,596,387
546,683,693
507,685,817
