Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Electronics,Music,Sports
240,147,278
175,194,265
68,205,150
95,281,193
111,296,158
133,100,349
177,138,370
118,125,165
154,276,302
361,352,517
475,173,275
156,152,129
104,245,157
75,200,320
136,206,339
268,136,290
75,333,418
114,99,390
256,209,103
211,189,205
162,166,149
153,163,230
163,111,162
190,113,170
103,225,278
79,117,412
112,187,116
166,71,133
54,293,393
262,205,279
105,177,295
101,212,472
283,240,144
128,143,160
89,121,153
384,108,317
63,161,210
149,156,609
169,277,277
210,156,525
130,234,203
387,155,112
223,148,325
244,134,196
176,396,309
179,201,545
113,142,211
163,126,395
91,272,214
94,187,395
135,307,123
117,334,227
173,264,199
125,290,228
160,183,187
168,166,169
113,215,306
103,188,92
107,294,271
145,306,376
138,142,177
124,180,129
66,301,266
85,171,224
434,225,308
133,303,104
172,236,596
197,95,217
100,270,287
181,157,71
78,329,284
174,302,97
160,167,504
71,236,276
144,183,279
110,353,98
181,229,272
156,219,229
239,277,273
131,198,144
453,190,372
109,327,336
261,399,248
114,398,382
80,297,353
93,115,171
265,165,200
115,266,115
140,129,134
224,128,313
116,114,325
160,301,135
91,221,174
83,130,220
123,148,235
269,181,412
142,158,357
314,244,189
180,268,257
337,113,389
187,147,172
308,288,185
156,237,235
250,108,405
163,160,436
336,204,219
249,185,188
303,138,222
313,236,439
95,107,346
194,192,262
128,165,265
79,170,210
114,332,514
278,119,341
84,188,203
115,291,161
125,212,283
