Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, t
Apartment,Single Family,Farmhouse,Luxury Villa
639,575,704,576
882,567,684,506
660,226,340,888
583,645,552,652
667,554,713,418
464,614,613,294
571,765,585,513
474,546,895,744
543,307,540,666
458,273,399,571
508,411,295,504
664,553,441,679
524,499,422,562
553,547,966,601
421,785,467,614
686,219,633,563
575,735,583,524
628,384,789,801
1101,702,376,556
930,211,389,967
361,557,781,512
505,620,510,575
490,298,483,447
576,295,189,548
477,451,460,641
644,569,553,535
568,671,661,847
489,487,487,411
225,952,608,308
527,559,550,708
676,277,492,607
470,798,610,406
765,417,361,686
527,459,601,523
658,494,625,779
413,578,404,454
1080,463,666,617
241,613,200,365
638,377,586,456
439,275,469,535
424,459,822,663
440,426,170,465
720,614,609,412
369,565,338,489
699,872,549,563
514,413,304,792
595,486,441,1024
796,580,597,353
724,521,615,727
552,363,632,612
726,486,264,681
549,593,445,410
693,678,575,516
622,438,582,426
563,314,523,678
554,507,565,666
325,685,786,705
436,452,198,517
666,370,291,648
662,445,805,293
93,775,632,564
460,538,589,6
563,452,628,589
650,403,378,555
484,325,148,399
865,524,730,674
314,542,477,529
656,581,540,534
569,756,541,565
682,470,510,389
918,415,178,542
557,450,538,392
632,502,320,374
521,677,510,628
474,207,845,375
391,263,591,550
707,451,761,640
1060,751,616,349
674,696,590,506
604,328,832,531
402,705,703,489
353,655,256,655
603,719,727,742
499,521,866,559
605,36,584,541
653,150,517,599
457,702,191,708
449,293,635,454
503,600,341,284
397,521,530,86
468,83,709,659
553,446,345,587
845,665,422,470
778,395,0,638
543,600,422,334
817,580,379,591
572,699,317,368
559,313,793,731
656,310,685,575
608,527,760,555
645,661,635,401
510,642,725,374
634,846,639,625
349,536,1075,665
713,754,166,183
631,481,568,534
496,659,497,523
660,113,685,707
493,643,622,596
295,512,322,573
540,477,244,570
732,565,676,848
625,450,659,593
365,375,422,588
549,510,544,557
427,333,472,394
