Social Media and Digital Media and Streaming,Platform Traffic,visits/month
trend,stable_rising,random_on_off_rising,random_on_off_stable,random_on_off_stable
Year,OracleFeed,Luminara,Starburst Online,NovaStream
1996,6657319315.42,5613899873.33,5000000000.0,4138107156.88
1997,5201475862.77,2999803661.42,1908782807.84,4381804954.24
1998,4943687243.46,6449295583.93,5000000000.0,1643707025.42
1999,4389287983.69,3602715427.05,5000000000.0,5000000000.0
2000,6246263231.91,1709716693.27,5000000000.0,4519323190.69
2001,7041579529.85,50000000.0,2423561190.01,5000000000.0
2002,4948322078.56,1826356873.29,5000000000.0,5000000000.0
2003,6751612131.3,5115246868.22,5000000000.0,5000000000.0
2004,8370555248.03,8984634843.38,5000000000.0,5000000000.0
2005,10105519414.75,50000000.0,5000000000.0,1259803315.11
2006,8398018626.15,3328999147.11,5350374456.47,5000000000.0
2007,7355132900.3,8007551340.52,5000000000.0,5000000000.0
2008,8164305039.68,6940272031.86,5000000000.0,5000000000.0
2009,8153205974.64,4806567047.54,5000000000.0,5482240416.49
2010,6948031779.23,9124166401.84,5000000000.0,5000000000.0
