Agriculture and Food Production,Food Waste,tons
trend,exponential_falling,volatile_rising,random_on_off_stable
Year,TerraTrade Network,AgriFlow Solutions,CropConnect Logistics
1969,10257.56,10380.13,10295.74
1970,8816.38,10439.39,10304.82
1971,8857.8,11757.12,10000
1972,7597.48,12485.02,3325.84
1973,6724.21,12845.16,10000
1974,6789.47,13253.11,10000
1975,4738.87,14727.05,10000
1976,4045.87,15604.83,3525.22
1977,4766.37,16132.89,10000
1978,4590.41,16554.67,10000
1979,3506.2,18491.25,10000
1980,2680.51,18594.56,10000
1981,3199.87,19341.9,4861.9
1982,3316.16,21596.98,10000
1983,2854.84,19373.84,10000
1984,1782.06,22273.93,10000
1985,1679.01,22013.52,4348.81
1986,674.73,23574.37,10000
1987,1784.84,23649.16,10000
1988,1101.18,25859.59,10000
1989,917.38,26069.89,5910.39
1990,552.12,26443.33,10000
1991,878.35,27688.34,10000
