Real Estate and Housing Market,Home Sales,units/month
trend,stable_rising,random_on_off_rising,random_on_off_stable
Year,Ironwood Market,Echo Trade,Starfall Mart
1952,1096.62,1009.02,1062.18
1953,963.74,1022.65,1005.48
1954,1062.57,1103.01,1000
1955,1090.56,1122.08,854.16
1956,1297.94,1146.34,1000
1957,1192.47,861.73,1000
1958,1270.59,10.0,1000
1959,1281.68,359.56,1000
1960,1408.21,1309.63,1000
1961,1521.82,1467.98,881.55
1962,1368.12,1394.94,1000
1963,1632.65,1060.0,1000
1964,1540.99,169.07,1000
1965,1574.09,826.99,555.31
1966,1606.12,1665.54,1000
1967,1874.85,1596.2,1000
1968,1977.72,1569.94,1000
1969,1917.26,447.2,217.29
1970,1848.41,10.0,1000
1971,2125.96,622.36,1000
1972,2024.61,1923.16,1000
1973,2032.66,1838.29,1000
1974,2237.21,1765.01,1000
1975,2186.56,1973.47,607.5
1976,2069.85,2046.24,1000
1977,2138.69,1640.63,1000
1978,2239.46,384.26,1000
