Real Estate and Housing Market,Housing Affordability Index,index
trend,periodic_stable,exponential_rising,random_on_off_stable,stable_rising,stable_falling
Year,Shadowfen,Silverwood Forest,Azure Coast,Golden Delta,Sunstone Desert
1974,102.38,96.07,95.95,106.55,103.36
1975,126.52,115.56,92.87,105.32,112.02
1976,113.73,121.15,100,114.02,100.26
1977,84.8,135.09,76.83,114.48,115.2
1978,73.28,144.43,100,126.75,107.87
1979,101.72,157.16,100,129.33,99.3
1980,125.55,174.38,100,136.94,112.33
1981,116.68,192.24,100,134.38,118.18
1982,89.11,212.08,92.63,142.3,119.76
1983,77.89,237.31,100,145.0,124.13
1984,97.15,252.52,100,154.42,129.03
1985,123.63,291.23,100,163.88,127.79
1986,115.4,325.81,94.29,172.92,130.12
1987,82.56,342.52,97.59,159.65,143.7
1988,77.54,381.96,106.31,164.42,136.8
1989,101.66,415.22,103.71,177.2,138.28
1990,123.22,465.74,101.93,174.49,145.08
1991,113.67,506.01,100,184.41,150.88
1992,83.8,553.9,22.0,190.96,158.35
1993,78.36,616.42,100,193.11,153.18
1994,99.84,676.6,100,195.92,159.48
1995,117.81,744.79,100,208.31,160.21
1996,115.1,807.22,100,206.71,170.1
1997,82.48,894.82,35.56,210.09,163.87
1998,70.31,984.32,100,219.64,163.67
