Education and Academics,Faculty Satisfaction,%
trend,periodic_stable,periodic_stable,volatile_rising,random_on_off_stable,periodic_stable,volatile_falling
Year,Meridian Academy,Aethelgard School of Arts,Celestial College,Silverhaven Polytechnic,Zenith Institute of Technology,Borealis Graduate School
2004,72.59,74.4,78.54,72.62,74.46,72.92
2005,94.65,93.83,78.29,82.18,94.44,61.96
2006,87.54,87.57,79.27,75,85.47,60.89
2007,65.12,62.86,89.05,13.99,62.61,59.93
2008,54.28,56.56,94.06,75,55.62,55.11
2009,73.23,71.91,100,75,73.77,50.72
2010,92.51,94.19,100,75,93.66,54.76
2011,86.33,82.87,100,75.03,85.15,48.29
2012,66.24,65.35,100,75,63.39,39.89
2013,55.83,58.13,100,15.6,57.94,27.29
