Transportation and Logistics,Cross-Border Delays,hours
trend,random_on_off_rising,stable_rising,random_on_off_rising,periodic_stable,periodic_stable,random_on_off_rising
Year,Political Disruptions,Sanitary Inspections,Customs Clearance,Documentation Errors,Security Checks,Tariff Negotiations
2009,17.35,6.56,16.37,13.99,10.64,11.45
2010,12.84,13.36,12.58,13.09,14.66,5.12
2011,12.73,15.03,18.53,16.22,11.18,12.89
2012,7.53,16.38,1.1,10.63,7.2,0.9
2013,5.86,11.22,4.1,10.11,5.67,0.12
2014,14.07,16.4,12.82,13.91,13.36,0.12
2015,18.27,14.31,10.32,11.21,16.0,0.12
2016,3.74,15.65,16.26,15.56,12.65,1.46
2017,0.12,15.19,17.64,8.64,10.36,13.82
2018,0.12,18.57,17.0,11.28,8.57,14.99
2019,10.52,22.4,14.05,12.67,13.01,4.39
2020,15.45,24.05,0.12,17.78,15.35,5.92
2021,15.26,19.46,0.12,13.32,11.83,15.53
