Energy and Utilities,Water Consumption,cubic meters
trend,stable_falling,periodic_stable,periodic_stable
Year,Silverhaven Water Board,AquaFlow Utilities,Borealis Water Cooperative
1964,30334872.03,30986319.4,29653579.32
1965,28096609.65,36664066.85,35923258.67
1966,31217483.41,34155925.9,34069578.8
1967,35264328.98,24792460.48,26284691.93
1968,35434204.52,22507739.99,23299859.09
1969,36143865.87,29812754.3,30158961.54
1970,34791314.48,37707936.44,36913260.63
1971,35223220.53,36107126.62,33876011.23
1972,39528780.32,25992266.12,25212576.76
1973,37388032.84,22452196.08,23201197.72
1974,38345593.51,28950708.61,29161532.03
1975,38860212.93,37472298.24,37229074.45
1976,42511160.77,34071748.14,35147621.34
1977,43816068.57,26411539.99,25848150.11
1978,42392768.58,22587903.19,22302759.05
1979,43206944.3,29789314.68,29558240.47
1980,45135648.02,37047176.56,36690348.01
1981,45638449.31,33568541.36,34368880.04
1982,46237985.98,26655513.84,26034348.24
1983,47682522.53,22455422.77,22888022.78
1984,46833494.62,29744285.92,31120831.74
1985,49371628.13,36316130.42,36676683.17
1986,50430768.83,34821565.13,35694090.03
1987,48708606.09,27219142.9,26718193.33
1988,51723944.59,23067657.29,23921811.14
1989,52262115.01,28854415.53,30465876.98
1990,54226763.08,38043099.92,38794611.22
1991,54195441.35,34953061.79,33430362.16
1992,56276977.62,24633480.97,25750290.96
1993,55612869.09,22660697.36,23833845.45
