Real Estate and Housing Market,Housing Affordability Index,index
trend,random_on_off_rising,random_on_off_stable,volatile_rising,periodic_stable,periodic_stable,volatile_rising,stable_falling
Year,Crimson Peaks,Veridian Plains,Sunstone Desert,Shadowfen,Silverwood Forest,Azure Coast,Golden Delta
1997,100.39,98.23,115.28,98.55,97.93,87.06,106.32
1998,103.82,104.18,113.93,125.93,126.02,117.2,100.74
1999,110.52,94.69,120.37,117.05,115.99,109.9,100.7
2000,112.49,100,133.05,87.8,85.02,123.77,107.85
2001,47.69,76.49,135.51,75.08,80.08,138.02,103.85
2002,31.68,100,138.31,106.09,97.31,150.26,105.24
2003,112.16,100,144.51,119.96,119.86,157.59,128.81
2004,128.99,100,160.4,110.14,114.76,162.85,123.3
2005,128.43,100,163.87,87.28,93.59,173.11,132.71
2006,143.56,61.55,180.95,78.63,76.09,186.27,132.17
2007,138.04,100,176.02,103.48,95.59,186.76,134.13
2008,55.42,100,187.87,123.34,119.41,185.5,138.63
2009,1.0,100,200.21,111.29,114.45,193.14,141.53
