Sports and Entertainment,Social Media Followers,followers
trend,volatile_falling,exponential_falling,periodic_stable,stable_rising,exponential_rising,exponential_rising
Year,@StarburstTV,@LuminaraPlay,@CrimsonCometsOfficial,@IronwoodInvincibles,@AetherNetSports,@NovaGamesLive
1974,15005025.2,9927668.08,10624762.15,11454231.53,8737097.19,9284219.41
1975,5188071.18,9295430.6,12262152.64,13820293.77,9082192.49,10671064.84
1976,8346355.65,5008362.09,10498290.0,10880146.7,15264726.23,13593851.78
1977,10230283.66,5831097.52,9368258.25,10158098.95,13200542.75,12353396.43
1978,10463206.35,7853541.24,8776124.58,15700775.32,14416133.22,16833551.71
1979,9617826.7,6746067.06,10698645.9,13336305.61,16390235.43,16226907.95
1980,4601879.18,5956181.06,11899699.57,10316509.3,16708955.12,16155515.43
1981,2411175.94,4372271.29,11620366.16,13699912.98,18359269.61,19003341.47
1982,3680014.72,100000.0,8044401.96,13699992.72,22879222.4,24229230.63
1983,4788728.96,4057221.92,8436357.99,15521913.76,23524714.9,24496482.41
1984,8204687.96,4446379.94,10147551.87,12451383.08,23624529.9,24783366.04
1985,1476154.61,789880.83,11952153.74,16394240.17,31199939.39,27553980.78
1986,3997789.17,1927616.89,10618487.06,15804851.69,33703706.07,28204591.54
1987,100000.0,2959952.21,8010851.97,16423178.23,35315096.01,35496307.43
1988,3684596.71,3450630.42,7024007.03,18274344.74,36171600.72,39338028.76
1989,100000.0,3098940.4,10997375.62,19245241.87,40055893.67,44891848.68
1990,1763200.26,3547416.13,12840164.56,17830327.48,48831207.2,49414552.23
1991,100000.0,3861441.78,12737443.45,17619528.3,52565477.57,48286101.91
1992,100000.0,2766837.7,8649961.81,19206362.58,57799005.43,57383920.8
1993,100000.0,521050.56,7814600.82,21904605.82,60520161.09,61353010.72
1994,874957.51,100000.0,8927729.91,20531378.74,69191339.34,68568441.63
1995,100000.0,1359759.3,11600966.05,19751642.89,77497059.78,72216152.77
1996,100000.0,255519.25,12416127.44,20703231.73,80418529.09,84312733.6
1997,6137590.72,3169081.08,7950584.11,22650365.16,89646451.84,86193540.92
1998,100000.0,100000.0,6467641.11,20763207.0,97983294.78,98977489.46
1999,100000.0,3547024.15,10352084.45,21342533.37,104937746.86,107647147.81
2000,100000.0,1414162.57,12847178.48,24257100.96,121546661.76,118016553.04
