Tourism and Hospitality,Tourist Attraction Visits,visitors
trend,exponential_falling,exponential_rising
Year,Mountain Peaks Park,Theme Parks
1977,63257.4,39008.48
1978,60143.36,70166.1
1979,58529.12,50331.84
1980,42265.81,63468.92
1981,35222.79,66460.22
1982,40553.44,83733.73
1983,24522.8,82816.4
1984,49353.71,81326.39
1985,11848.2,107315.22
1986,3620.41,110763.03
1987,29538.91,133549.09
1988,20968.98,139625.94
1989,500.0,130262.36
1990,5635.7,151455.71
1991,2172.73,196905.28
1992,20146.37,207272.59
1993,22114.63,229029.32
1994,22773.57,259122.08
1995,11352.99,272658.66
1996,16859.19,325505.33
1997,554.59,332849.62
1998,500.0,384233.74
1999,18943.94,414733.69
2000,21797.01,476433.3
