Education and Academics,Library Visits,visits/year
trend,stable_falling,volatile_falling,exponential_falling,random_on_off_rising
Year,Aethelgard Art Library,Zenith Tech Library,Borealis Research Hub,Arcane University Library
1958,76574.17,98747.82,95591.59,97214.91
1959,99369.03,100394.16,77917.49,98116.32
1960,103037.93,90564.67,86137.92,108427.33
1961,113617.13,73174.42,79994.9,74611.05
1962,112003.75,68829.42,65264.3,7457.54
1963,118621.08,64945.79,64207.55,1000.0
1964,127330.22,70730.09,58602.75,52417.08
1965,114512.36,67945.06,54798.44,127549.88
1966,121601.06,51304.3,49811.29,133260.21
1967,142056.85,56429.6,41621.03,53024.85
1968,127382.69,21843.72,33666.01,24867.92
1969,120412.2,42732.06,26635.18,116151.97
1970,153731.56,14452.86,39148.43,158481.69
1971,139593.47,24336.21,24562.65,101198.19
1972,140708.27,23837.8,22559.92,1000.0
1973,144255.98,8861.83,30092.34,1000.0
1974,146099.0,1000.0,12373.61,1000.0
1975,151418.89,1000.0,10335.97,84969.88
1976,158792.02,1000.0,7539.9,176420.06
