Cultural Trends and Influences,Museum Visitors,visits/month
trend,exponential_falling,volatile_falling,stable_rising,exponential_falling,random_on_off_rising
Year,The Verdant Hall,The Chronos Museum,Aethelgard Historical Archive,Museum of Stellar Artifice,Gallery of Whispers
1970,833095.23,853653.59,982215.18,1124689.68,1088884.3
1971,979164.08,786061.93,1081717.91,848899.54,897516.39
1972,914731.91,1084739.09,1103855.21,848188.58,1008473.67
1973,759148.65,972830.86,1174725.29,751874.83,1083167.9
1974,505004.68,725505.02,1112775.76,613965.44,1042302.31
1975,656775.47,769097.06,1290122.5,595595.46,195254.32
1976,488507.45,533519.92,1429894.53,408412.98,10000.0
1977,575431.86,703807.9,1281544.43,599870.85,865172.86
1978,546300.56,360149.82,1282149.12,512352.89,1380234.4
1979,510210.81,600187.88,1484161.04,387814.12,1353324.29
1980,262242.43,394287.16,1557138.81,592376.89,1521071.72
1981,325921.23,355790.35,1488797.48,242870.89,1130252.45
1982,236518.98,131243.35,1586500.61,173258.9,86840.48
1983,258026.28,96398.05,1845799.02,91850.09,614427.03
1984,317007.38,104299.42,1654695.88,191879.99,1285216.31
1985,274465.23,190231.97,1693699.67,156102.94,1513625.22
1986,76713.63,174624.42,1738847.65,10000.0,1570751.91
1987,148615.84,10000.0,1762841.04,179481.49,1704864.62
1988,183143.49,10000.0,1914171.47,211128.19,1757491.31
1989,130608.71,10000.0,1763391.81,66061.46,1714164.89
1990,10000.0,10000.0,1957921.14,258175.63,1731230.52
1991,148526.11,10000.0,1987098.42,115366.24,459431.37
1992,10000.0,10000.0,2223928.21,90538.22,580108.89
1993,10000.0,10000.0,1904109.79,126466.08,2100246.25
1994,12599.05,10000.0,2256550.48,252994.31,1994666.52
