Energy and Utilities,Carbon Emissions,tons
trend,exponential_rising,volatile_rising
Year,Borealis Renewables,Stellar Grid Solutions
1982,4433549.38,4576435.73
1983,5182220.84,5400540.67
1984,6078157.08,5741003.03
1985,7163218.1,5571682.19
1986,6569874.41,6165558.36
1987,8249033.51,7040980.75
1988,9086780.85,8207076.81
1989,9796052.37,7933717.6
1990,10671885.68,8688656.3
1991,11680721.75,8550504.5
1992,12388767.83,8644059.1
1993,13799595.9,9311033.64
1994,16087265.6,9849568.28
1995,17042070.64,9659159.7
1996,18790252.14,11948517.95
1997,21074339.49,12361842.9
1998,23565314.34,11399103.92
1999,25479077.46,12424263.36
