Education and Academics,Alumni Giving Rate,%
trend,random_on_off_stable,random_on_off_rising,periodic_stable,random_on_off_rising,stable_rising,stable_rising
Year,Aethelgard Arts Circle,Celestial College Graduates,Silverhaven Polytechnic Fund,Borealis Alumni Network,Meridian Academy Patrons,Zenith Tech Foundation
2002,9.67,9.57,10.08,10.44,9.74,10.08
2003,10.33,10.24,12.49,11.57,11.53,10.84
2004,10,5.65,11.66,10.27,11.41,11.45
2005,7.84,0.1,8.95,4.59,11.26,10.32
2006,10,0.1,7.24,0.1,11.6,11.58
2007,10,5.88,9.79,0.1,11.74,11.75
2008,10,12.0,12.41,9.11,13.63,13.15
2009,10,13.35,11.08,13.61,13.31,13.39
2010,10,11.88,9.19,12.28,15.0,13.22
2011,1.26,3.44,8.06,12.92,15.38,13.48
2012,10,4.31,9.86,14.37,15.47,15.35
2013,10,13.71,12.44,9.47,16.01,16.34
2014,3.76,15.22,11.54,0.1,15.53,15.68
2015,10,9.17,8.13,0.1,15.18,16.25
2016,10,0.1,7.27,0.1,16.93,17.36
2017,6.74,0.1,10.24,1.31,16.8,17.23
2018,10,8.19,12.62,10.83,17.41,16.53
2019,10,15.56,11.38,17.81,18.38,17.7
2020,10,16.74,8.18,11.6,19.51,18.01
2021,9.47,16.55,7.37,0.1,19.72,19.87
2022,10,5.56,9.7,0.1,19.9,20.48
2023,6.92,0.1,12.27,3.68,20.04,20.16
2024,10,0.1,10.75,16.76,21.8,20.94
