Human Resources and Employee Management,Turnover Rate,%
trend,random_on_off_stable,exponential_falling,volatile_falling,random_on_off_stable
Year,Zenith Enterprises,Lumina Solutions,Ironclad Industries,Verdant Ventures
1996,16.4,13.02,11.67,15.49
1997,15.32,14.51,11.93,15
1998,15,12.15,9.62,15.38
1999,10.04,10.08,14.96,15
2000,15,10.66,11.78,15
2001,15,8.28,9.44,15
2002,15,9.34,9.51,15
2003,15,8.51,9.59,8.41
2004,15,5.85,7.21,15
2005,0.37,4.7,7.46,15
2006,15,5.32,3.63,14.88
2007,15,4.82,4.41,13.19
2008,1.87,6.66,5.67,13.98
2009,15,3.68,6.48,14.94
