Education and Academics,Student-Teacher Ratio,ratio
trend,random_on_off_rising,volatile_falling,random_on_off_rising,stable_falling,stable_rising,exponential_rising
Year,Celestial College,Zenith Institute of Technology,Borealis Graduate School,Silverhaven Polytechnic,Aethelgard School of Arts,Meridian Academy
1966,19.79,20.17,19.84,20.65,20.05,19.75
1967,20.49,19.22,20.65,20.7,20.23,21.76
1968,22.43,17.08,21.69,20.87,21.13,24.38
1969,22.04,15.95,21.32,21.69,23.11,26.28
1970,10.41,14.9,6.27,22.6,24.14,29.43
1971,0.2,13.94,5.97,23.14,25.02,32.01
1972,0.2,12.61,22.63,23.92,26.18,35.47
1973,0.2,11.7,25.52,24.63,26.73,38.47
1974,12.13,10.99,26.44,24.68,27.98,42.74
1975,26.75,8.92,13.6,25.83,28.58,46.83
1976,27.5,7.36,0.2,26.1,30.24,52.04
1977,6.29,6.96,0.2,27.26,31.62,57.33
1978,10.32,5.1,18.48,27.16,31.56,62.98
1979,30.2,5.11,30.94,27.23,33.46,68.79
1980,31.03,3.51,31.2,28.34,34.85,75.39
1981,31.68,1.61,31.95,29.41,35.09,83.42
1982,24.21,0.94,32.91,29.16,36.03,91.55
1983,2.43,0.2,29.99,30.32,36.65,100.9
1984,0.2,0.2,8.85,30.26,37.84,111.72
1985,0.2,0.2,0.2,31.05,39.03,121.86
1986,16.2,0.2,0.2,31.76,40.09,134.79
1987,36.94,0.2,14.65,32.93,40.28,147.79
1988,37.85,0.2,37.78,33.66,42.27,162.39
1989,39.05,0.2,37.75,33.34,43.55,179.0
1990,38.85,0.2,10.34,34.98,43.69,197.31
1991,14.18,0.2,0.2,34.71,44.92,215.88
1992,8.99,0.2,16.01,35.66,45.36,238.27
1993,37.18,0.2,41.77,36.2,47.31,262.59
1994,42.28,0.2,42.65,36.85,47.7,288.98
1995,42.93,0.2,42.59,37.13,49.35,316.88
