Education and Academics,Student-Teacher Ratio,ratio
trend,exponential_falling,random_on_off_rising,exponential_falling,volatile_rising,random_on_off_rising,volatile_falling,random_on_off_rising
Year,Zenith Institute of Technology,Arcane University,Borealis Graduate School,Silverhaven Polytechnic,Meridian Academy,Celestial College,Aethelgard School of Arts
1950,20.21,20.45,19.7,20.57,20.01,21.74,20.6
1951,17.88,20.87,17.87,21.47,20.22,18.01,20.48
1952,15.84,17.75,16.18,23.34,21.79,17.2,21.5
1953,14.41,3.82,15.51,25.59,22.12,15.89,18.26
1954,13.08,9.04,13.48,26.42,11.73,14.43,3.72
1955,11.83,23.9,11.92,27.7,1.04,14.71,0.2
1956,10.52,25.37,11.0,29.37,17.72,13.02,6.78
1957,9.81,11.49,9.33,31.85,24.93,11.47,24.62
1958,8.5,0.2,8.62,33.39,26.12,9.95,26.58
1959,7.08,0.2,7.55,32.86,26.89,9.8,9.74
1960,6.3,0.2,7.62,36.45,28.36,8.05,0.2
1961,6.22,15.25,6.53,38.34,28.55,7.55,2.95
1962,5.72,29.88,6.51,40.67,30.23,6.61,21.29
1963,4.33,30.17,5.51,40.43,13.52,4.7,30.26
1964,4.75,4.31,3.91,42.56,0.2,3.71,19.23
1965,4.16,14.03,3.61,43.68,11.93,3.04,0.2
1966,3.27,32.59,3.72,45.61,33.7,1.48,20.65
1967,3.89,33.01,3.18,46.12,33.03,0.2,34.13
1968,3.06,34.03,2.38,48.29,34.26,0.2,33.84
1969,2.9,35.37,3.26,49.55,34.02,0.2,35.46
