Healthcare and Health,Vaccination Rate,%
trend,random_on_off_rising,exponential_rising,periodic_stable,exponential_falling,exponential_rising,stable_falling
Year,Sector Beta,District Alpha,Stellar City Core,Azure Enclave,Verdant Ward,Crimson Quarter
1999,76.76,75.35,74.53,76.11,73.58,78.05
2000,81.54,83.98,93.7,68.5,81.31,74.44
2001,81.27,87.21,85.5,61.69,94.78,79.67
2002,76.88,98.19,64.02,48.36,100,82.82
2003,20.02,100,54.79,46.03,100,81.66
2004,0.75,100,75.12,40.79,100,86.19
2005,0.75,100,93.49,39.02,100,88.46
2006,0.9,100,86.15,36.84,100,91.41
2007,72.69,100,63.27,29.43,100,94.68
2008,100,100,56.53,29.27,100,96.68
2009,69.93,100,74.91,26.89,100,98.51
2010,0.75,100,94.95,20.93,100,95.83
2011,0.75,100,87.3,22.58,100,100
2012,19.03,100,61.66,21.8,100,100
2013,95.9,100,58.99,19.49,100,100
2014,100,100,75.84,13.71,100,100
2015,100,100,90.56,15.5,100,100
2016,100,100,85.58,13.58,100,100
2017,76.37,100,63.33,14.84,100,100
2018,0.75,100,57.92,7.9,100,100
2019,87.61,100,75.82,9.6,100,100
2020,100,100,92.79,6.6,100,100
2021,100,100,86.29,3.4,100,100
