Transportation and Logistics,On-Time Delivery Rate,%
trend,exponential_falling,exponential_rising,random_on_off_stable,exponential_rising
Year,Same-Day Couriers,Automotive Parts,Oversized Loads,E-Commerce Parcels
2002,89.75,93.36,97.8,98.01
2003,83.24,89.84,79.15,100
2004,65.78,100,92,88.55
2005,84.29,100,50.47,100
2006,47.98,100,92,100
2007,64.49,100,92,100
2008,56.37,100,49.21,100
2009,48.43,100,92,100
2010,41.32,100,92,100
2011,16.91,100,92,100
2012,31.14,100,73.58,100
2013,26.5,100,92,100
2014,29.53,100,92,100
2015,28.49,100,92,100
2016,26.47,100,92,100
2017,34.04,100,92,100
2018,16.74,100,42.77,100
2019,23.87,100,92,100
2020,0.92,100,92,100
