Science and Engineering,Patent Applications,applications
trend,stable_falling,volatile_falling,volatile_rising
Year,Oracle Systems,Echo Dynamics,Luminara Solutions
1979,4543.31,4146.71,5308.5
1980,5081.04,4568.57,6164.37
1981,5472.93,4757.41,7353.26
1982,5676.79,4417.98,4940.0
1983,4826.73,3971.84,6135.71
1984,6183.56,3796.95,8091.91
1985,6116.18,4034.48,7019.34
1986,6136.2,3923.8,7847.59
1987,6397.14,2756.21,8373.41
1988,7184.68,2669.06,9175.55
1989,6901.68,888.74,7856.24
1990,6284.57,1505.8,10761.46
1991,6608.98,691.73,9179.51
