Healthcare and Health,Healthcare Expenditure,$
trend,stable_rising,exponential_falling,periodic_stable,exponential_falling,periodic_stable
Year,Aethelgard Medical Board,Borealis Wellness Council,Azure Health Initiative,Lumina Health Authority,Zenith Medical Foundation
1992,998033570.65,946838372.46,925139235.18,1071453213.84,1050639373.24
1993,826460792.56,1098767227.76,1224928954.76,1034937327.61,1214160694.52
1994,1165698053.48,723321888.17,1203893827.86,736002988.28,1115042756.07
1995,1124142578.63,616659976.51,778967384.57,607321204.11,798232628.48
1996,1244834018.66,542801483.35,784197766.59,644954958.5,745217425.45
1997,1339709633.83,714044372.55,1082590252.34,457112518.72,969414073.84
1998,1615599808.5,614817806.67,1218754376.88,593793740.48,1328812202.23
1999,1386483844.23,469178148.11,1154582642.2,317291172.96,1185683323.27
2000,1317084449.78,271269658.22,887209868.59,410574858.54,804416535.97
2001,1449753856.61,386269198.68,848139136.29,418376116.97,749055540.56
2002,1605112059.94,463992074.21,943481450.69,356429724.81,994905042.22
2003,1734850059.49,258246230.19,1201787298.66,235900124.07,1249520830.27
2004,1514690114.01,189997840.65,1230129429.66,373994419.09,1228065220.66
2005,1695069840.14,63424415.3,777803339.99,183168243.85,836142763.25
2006,1728476831.07,88630350.58,735057263.27,181078127.94,831626654.28
2007,1689051529.47,217950018.45,1011335791.63,272554422.84,994938827.98
2008,1749687049.87,217202081.73,1242081684.93,171177951.34,1292554934.84
2009,1841802551.41,10000000.0,1134085859.31,144064059.24,1180042673.71
2010,1909298501.39,261382667.06,803549401.79,269422884.13,909713651.42
2011,1970123534.52,119858362.73,698694877.86,102151299.2,738896299.58
2012,1915394221.87,204802579.07,979038066.36,10000000.0,985563296.02
