Tourism and Hospitality,Luggage Loss Rate,%
trend,volatile_rising,random_on_off_rising,volatile_falling,stable_rising
Year,Shared Ride,High-Speed Trains,Ferry Services,International Terminals
1959,1.49,1.65,1.67,1.51
1960,1.84,1.87,1.43,1.33
1961,1.63,1.67,1.1,1.49
1962,2.2,1.58,1.5,1.52
1963,1.89,1.68,1.21,1.79
1964,2.13,1.58,1.3,1.93
1965,1.85,0.84,1.12,1.79
1966,2.14,0.41,0.81,2.0
1967,2.55,1.59,0.66,2.14
1968,2.35,2.19,0.56,2.3
1969,2.45,2.18,0.63,2.42
1970,3.22,2.26,0.66,2.35
1971,2.95,2.23,0.32,2.35
1972,2.85,1.15,0.33,2.35
1973,3.25,0.01,0.1,2.45
1974,3.47,1.47,0.09,2.54
1975,3.67,2.24,0.03,2.63
1976,3.11,2.57,0.01,2.85
1977,3.8,0.07,0.04,2.94
1978,3.85,0.01,0.01,3.06
1979,4.14,0.01,0.01,3.15
1980,4.01,1.34,0.01,3.02
1981,4.12,2.68,0.01,3.05
1982,4.4,2.85,0.01,3.42
1983,4.34,2.85,0.01,3.19
1984,4.16,3.07,0.01,3.34
1985,4.3,3.09,0.01,3.4
1986,4.78,1.7,0.01,3.45
1987,4.82,0.01,0.01,3.59
