Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,periodic_stable,exponential_rising,volatile_falling,stable_rising,volatile_rising,random_on_off_stable,random_on_off_stable
Year,Lumina Energy Market,GeoHeat Commodity,AquaSource Trading,Zephyr Gas Index,Solara Power Futures,TerraFuel Exchange,SkyFlow Water Index
1981,2.02,2.05,1.79,1.98,2.23,2.15,1.99
1982,2.49,2.38,1.86,2.05,2.37,2.19,1.96
1983,2.28,2.41,2.12,2.05,2.18,1.88,2.0
1984,1.63,2.79,1.35,2.37,2.34,2,2
1985,1.5,3.19,1.33,2.43,2.75,0.47,2.07
1986,2.09,3.3,1.2,2.58,3.0,2,2
1987,2.5,3.62,1.34,2.67,3.01,2,2
1988,2.3,3.76,1.02,2.61,2.58,2,2
1989,1.73,4.05,1.15,2.88,3.14,2,1.99
1990,1.57,4.76,0.55,2.66,3.27,0.5,2
1991,2.11,5.31,0.77,2.99,3.6,2,2
1992,2.45,5.93,0.55,3.35,3.82,2,2
1993,2.3,6.24,0.39,3.03,3.9,1.98,2
1994,1.68,6.87,0.37,3.15,4.29,2.08,0.19
1995,1.62,7.74,0.19,3.12,4.58,2.04,2
