Science and Engineering,Patent Applications,applications
trend,stable_falling,random_on_off_stable,volatile_falling
Year,Echo Dynamics,Luminara Solutions,Nova Industries
1994,5490.55,5228.74,5373.42
1995,5745.73,4942.23,5280.56
1996,5676.52,5000,2789.56
1997,6054.66,2711.41,5883.2
1998,5226.9,5000,3003.68
1999,6136.66,5000,4171.23
2000,5243.94,5000,3234.99
2001,6574.31,1012.44,2842.57
2002,6761.54,5000,3093.56
2003,4721.89,5000,1471.83
2004,6701.16,5000,2123.7
2005,6661.0,6006.96,1150.96
2006,6075.72,5054.3,761.9
2007,6302.07,5000,686.5
2008,6701.48,528.26,1753.41
2009,6520.74,5000,50.0
2010,7078.37,5000,50.0
2011,7005.55,5698.64,50.0
2012,8089.27,4899.48,624.74
2013,7851.67,4761.6,50.0
