Retail and E-commerce,Inventory Turnover,times/year
trend,stable_rising,stable_rising,exponential_rising,volatile_falling
Year,QuickDeliver Hubs,Bulk Goods Centers,Cold Chain Facilities,Tech Distribution
1998,6.61,6.97,6.37,6.14
1999,5.82,5.73,6.7,7.51
2000,6.64,6.27,6.19,4.28
2001,7.15,6.99,6.22,5.84
2002,7.46,7.61,8.72,6.66
2003,8.29,7.53,10.51,4.55
2004,7.82,8.69,10.03,3.07
2005,8.32,9.02,11.48,2.93
2006,8.65,7.93,13.91,5.39
2007,6.83,8.39,14.25,1.79
2008,10.2,9.75,17.82,3.4
2009,9.98,9.87,17.66,2.66
2010,7.84,10.86,19.5,1.47
2011,8.72,9.16,21.67,1.1
2012,10.53,10.37,21.92,1.98
2013,11.9,8.1,26.2,0.06
