Real Estate and Housing Market,Home Sales,units/month
trend,exponential_rising,volatile_falling,random_on_off_stable,stable_falling,volatile_rising,stable_falling
Year,Echo Trade,Starfall Mart,Ironwood Market,Aether Market,Silverleaf Emporium,Crimson Bazaar
1974,1093.79,882.68,1061.97,1037.34,1081.55,966.73
1975,1293.42,1076.49,1060.53,1160.26,854.38,1089.91
1976,1178.28,832.8,1000,1085.18,1332.07,1129.25
1977,1302.33,812.02,907.06,1216.89,1351.9,1093.4
1978,1335.01,741.03,1000,1106.35,1432.14,952.37
1979,1622.18,818.78,1000,1241.75,1332.1,1186.08
1980,1831.06,697.72,1000,1327.66,1628.52,1141.63
1981,2023.09,463.68,1000,1186.54,1447.64,1251.02
1982,2208.25,569.15,141.18,1213.99,1966.76,1309.42
1983,2267.45,544.19,1000,1322.78,1616.84,1254.22
1984,2657.15,336.6,1000,1211.96,1966.11,1322.61
1985,2714.18,405.21,1045.8,1285.62,2138.0,1240.18
1986,3212.97,218.83,1000,1441.14,2041.98,1378.48
1987,3401.02,235.44,408.06,1354.44,2002.44,1361.1
1988,3795.67,69.61,1000,1401.36,2293.62,1330.29
1989,4188.12,319.13,1000,1407.83,2041.06,1507.18
1990,4579.85,10.0,1000,1617.47,2182.97,1521.99
1991,4965.6,10.0,1000,1580.84,2232.9,1500.43
1992,5537.64,135.38,446.14,1450.57,2255.39,1474.95
1993,6069.91,10.0,1000,1582.8,2409.77,1555.57
1994,6693.29,10.0,1000,1561.22,2557.29,1565.72
1995,7279.51,10.0,1000,1638.66,2778.58,1644.34
1996,8149.78,10.0,1000,1658.05,2641.38,1652.73
1997,8794.83,10.0,1023.0,1624.7,3072.98,1726.61
1998,9814.22,10.0,1000,1811.71,3110.3,1717.74
1999,10855.24,10.0,1000,1867.56,3143.46,1680.29
2000,11974.22,10.0,1000,1885.99,2999.86,1691.92
2001,13119.77,10.0,1000,1736.28,3196.64,1908.38
2002,14425.65,10.0,1002.66,1915.4,3317.82,1924.93
