Transportation and Logistics,Cross-Border Delays,hours
trend,exponential_falling,exponential_rising,random_on_off_stable,periodic_stable,stable_rising,volatile_rising,exponential_rising
Year,Documentation Errors,Customs Clearance,Political Disruptions,Weather Impacts,Security Checks,Tariff Negotiations,Sanitary Inspections
1959,7.17,9.48,18.45,10.55,11.1,17.57,10.52
1960,14.98,17.65,13.7,12.63,10.9,15.18,7.97
1961,8.92,11.14,12,12.91,18.15,16.57,12.04
1962,8.52,14.49,8.58,8.35,9.83,17.24,8.28
1963,8.16,15.39,12,9.49,14.81,21.54,15.42
1964,8.03,18.9,12,8.6,9.33,18.49,16.14
1965,11.74,19.32,12,16.25,19.93,18.97,25.2
1966,5.14,18.15,12,12.73,21.04,26.11,30.02
1967,0.12,28.94,12,11.41,19.64,29.91,30.14
1968,0.84,32.46,13.42,10.45,26.9,19.97,27.59
1969,5.69,28.28,12,9.5,19.7,23.69,34.65
1970,7.68,37.56,2.12,18.91,17.2,27.04,30.4
1971,0.12,36.88,12,15.4,21.53,22.63,39.26
1972,2.25,43.47,12,13.95,16.55,26.76,40.51
1973,0.12,43.6,7.89,10.13,20.11,31.54,38.37
1974,0.5,49.28,12,9.15,22.96,25.87,51.54
1975,4.07,57.25,12,16.32,19.25,23.88,59.3
1976,0.12,62.83,9.44,18.13,21.79,26.76,60.28
1977,4.86,69.63,15.1,9.75,29.57,24.61,65.38
1978,0.12,70.24,5.95,8.1,29.63,43.5,71.98
