Healthcare and Health,Life Expectancy,years
trend,random_on_off_rising,stable_falling,volatile_falling,volatile_rising,random_on_off_stable,stable_rising,volatile_rising
Year,Azure Enclave,Sector Beta,Crimson Quarter,Verdant Ward,Stellar City Core,Outer Rim Settlements,District Alpha
1997,78.9,79.09,79.56,79.79,81.14,79.71,80.06
1998,83.11,82.1,75.9,84.24,80.0,84.39,87.19
1999,86.37,83.83,70.06,92.98,80,88.07,92.4
2000,90.45,86.36,66.01,98.87,60.75,93.34,98.46
2001,92.21,90.24,60.76,106.04,80,95.47,106.97
2002,31.89,91.33,55.22,112.07,80,100.7,114.28
2003,0.8,95.3,50.34,118.42,79.85,104.1,119.61
2004,48.39,97.87,45.8,124.96,80.92,108.44,124.63
2005,105.1,98.56,42.7,132.07,79.9,111.25,131.67
2006,110.05,101.44,36.68,136.96,80,115.45,137.92
2007,110.48,102.99,30.97,142.62,25.49,120.53,144.65
2008,115.18,105.92,25.37,149.47,80,124.5,152.72
2009,81.49,108.88,22.08,156.7,80,128.17,157.76
2010,2.7,109.26,16.74,164.96,80,131.73,163.14
2011,0.8,113.65,13.07,170.69,80,136.5,170.1
2012,34.94,116.22,8.8,179.05,81.3,140.12,175.73
2013,121.47,118.0,2.18,181.05,80,143.83,180.1
2014,134.7,120.55,0.8,187.07,6.13,147.82,188.23
2015,138.06,122.76,0.8,197.02,80,151.45,194.76
2016,66.78,127.92,0.8,201.46,80,154.84,201.29
2017,15.07,128.41,0.8,207.2,80,158.85,208.07
