Healthcare and Health,Patient Satisfaction,%
trend,periodic_stable,periodic_stable,stable_rising,exponential_rising,volatile_rising,volatile_falling
Year,Senior Care Group,Wellness Program Participants,Emergency Room Patients,Outpatient Visitors,Pediatric Patients,Chronic Condition Patients
1989,94.71,91.37,91.49,93.66,85.19,84.17
1990,100,100,92.6,99.54,100,90.42
1991,100,100,100,100,97.7,82.84
1992,78.1,76.56,100,100,100,76.07
1993,67.54,68.66,100,100,100,80.14
1994,89.47,93.18,100,100,100,71.93
1995,100,100,100,100,100,61.7
1996,100,100,100,100,100,52.82
1997,74.09,76.99,100,100,100,52.62
1998,71.89,67.93,100,100,100,47.07
1999,90.85,88.62,100,100,100,41.17
2000,100,100,100,100,100,30.27
2001,98.45,100,100,100,100,18.25
2002,78.98,76.08,100,100,100,19.7
2003,67.48,69.89,100,100,100,8.48
2004,89.6,91.41,100,100,100,6.14
2005,100,100,100,100,100,4.9
2006,100,100,100,100,100,0.9
2007,75.32,76.71,100,100,100,0.9
