Science and Engineering,Publication Count,papers
trend,volatile_falling,stable_falling
Year,Luminara Academy,Nova Institute
1959,89.08,106.74
1960,100.43,107.46
1961,110.74,115.82
1962,59.16,115.42
1963,69.41,117.49
1964,68.4,123.66
1965,97.9,118.84
1966,61.76,106.03
1967,34.1,111.43
1968,53.8,130.65
1969,56.5,124.48
1970,43.09,133.18
1971,22.01,135.19
1972,27.49,142.77
1973,17.76,143.4
1974,11.58,141.38
1975,6.4,147.74
1976,10.43,158.68
1977,1.0,139.89
1978,1.0,172.49
1979,1.0,157.58
1980,1.0,158.37
1981,1.0,160.88
1982,1.0,173.67
1983,1.0,178.3
1984,1.0,172.97
1985,1.0,168.97
1986,1.0,188.69
