Agriculture and Food Production,Crop Yield,tons/hectare
trend,exponential_rising,stable_falling
Year,Ironwood Ranch,Whispering Willows Estate
1965,97839.09,100983.0
1966,112280.74,97224.25
1967,118351.01,116406.95
1968,134531.72,114958.66
1969,154504.07,104572.43
1970,160335.75,126201.88
1971,180313.8,116159.63
1972,196038.11,119965.73
1973,224723.88,114155.78
1974,240960.68,140766.96
1975,266613.36,121478.6
1976,286388.11,141084.02
1977,327568.5,144214.7
1978,346071.89,144439.01
1979,367672.02,138953.18
1980,409221.97,143068.46
1981,478497.43,145909.36
1982,498950.6,153126.9
1983,553250.89,148062.96
1984,613753.16,168174.98
1985,672061.49,158108.67
1986,742818.76,165024.22
1987,819436.92,161432.28
