Education and Academics,Library Visits,visits/year
trend,exponential_falling,random_on_off_stable,stable_falling,stable_falling,random_on_off_stable,random_on_off_rising
Year,Arcane University Library,Zenith Tech Library,Meridian Academy Collection,Borealis Research Hub,Silverhaven Digital Repository,Celestial College Archives
1988,90303.47,100561.65,89947.22,103714.18,102677.98,108747.02
1989,92573.71,100576.87,104319.99,86163.29,111194.01,95680.27
1990,72281.45,100000,102980.58,106806.14,102715.76,109488.33
1991,72412.04,27322.38,113985.51,108669.24,100000,108754.92
1992,60531.55,100000,115913.62,110587.22,55667.09,119542.22
1993,56384.96,100000,111654.79,115032.14,100000,46036.63
1994,48707.3,100000,117237.96,114742.49,100000,20790.6
1995,41697.75,100000,129177.98,129066.19,100000,100146.41
1996,34442.37,17671.23,136806.7,123800.9,100000,134502.16
1997,34697.55,100000,122701.77,127287.39,66383.49,62640.34
