Science and Engineering,Publication Count,papers
trend,exponential_falling,periodic_stable
Year,Starburst College,Luminara Academy
1966,90.74,91.5
1967,77.16,123.1
1968,85.27,115.79
1969,66.93,78.99
1970,51.07,79.71
1971,56.25,94.19
1972,27.59,123.54
1973,44.6,105.73
1974,44.12,94.47
1975,35.7,81.5
1976,19.1,102.57
1977,35.94,116.48
1978,29.45,110.56
1979,23.43,86.94
1980,22.05,80.14
1981,29.17,103.57
1982,15.97,124.22
1983,11.73,116.0
1984,29.19,88.64
1985,21.39,73.2
1986,13.99,101.57
1987,6.48,132.03
1988,12.54,118.12
1989,26.27,82.1
1990,1.0,80.76
1991,7.25,103.23
1992,1.0,122.77
1993,20.13,119.8
