Real Estate and Housing Market,Construction Starts,units/year
trend,exponential_rising,random_on_off_rising,random_on_off_rising,random_on_off_stable
Year,Azure Coast,Sunstone Desert,Veridian Plains,Golden Delta
1971,506.83,504.38,504.09,482.12
1972,515.93,525.89,512.88,500
1973,588.82,514.8,529.49,500
1974,659.74,621.18,561.72,500
1975,752.85,392.13,404.75,500
1976,823.0,5.07,109.26,520.51
1977,863.44,5.0,214.81,460.22
1978,993.25,6.58,614.95,500
1979,1098.59,445.87,681.56,235.3
1980,1222.22,699.1,687.58,500
1981,1258.02,715.7,648.82,500
1982,1483.44,709.55,228.63,500
1983,1521.29,710.8,5.0,500
1984,1692.14,714.61,289.54,159.9
1985,1911.66,244.04,726.76,500
1986,2126.55,5.0,840.97,500
1987,2248.54,5.0,260.82,497.6
1988,2486.04,186.42,220.89,457.28
1989,2766.73,830.97,816.43,514.39
1990,3117.61,855.05,850.36,493.48
1991,3383.3,365.41,853.34,500
1992,3678.4,5.0,981.77,424.72
1993,4091.37,5.0,915.02,500
1994,4473.56,331.87,250.71,500
1995,4935.3,938.9,5.0,494.09
1996,5378.53,993.34,5.0,548.49
