Healthcare and Health,Vaccination Rate,%
trend,stable_rising,volatile_rising,volatile_falling,stable_rising,periodic_stable,stable_rising,volatile_falling
Year,Crimson Quarter,Verdant Ward,Stellar City Core,Sector Beta,Azure Enclave,District Alpha,Outer Rim Settlements
1986,76.77,78.56,78.14,77.21,75.78,77.79,73.73
1987,75.63,85.12,72.54,75.69,91.14,81.82,70.15
1988,81.0,92.78,68.83,87.15,86.87,83.32,68.21
1989,89.01,94.66,58.75,85.81,64.82,87.2,66.18
1990,93.36,100,61.76,89.51,58.07,88.22,59.32
1991,95.72,100,55.14,94.9,75.16,93.03,47.22
1992,98.63,100,47.43,96.1,92.56,100,45.0
1993,100,100,45.84,100,86.06,100,42.23
1994,100,100,43.53,100,62.88,100,37.48
1995,100,100,28.06,100,54.9,100,32.05
1996,100,100,34.02,100,74.47,100,30.92
1997,100,100,23.53,100,92.27,100,23.33
1998,100,100,21.29,100,84.81,100,18.02
1999,100,100,14.27,100,64.53,100,12.34
