Sports and Entertainment,Sponsorship Revenue,$
trend,random_on_off_stable,exponential_rising,volatile_rising,stable_falling
Year,Ironwood Invincibles,Crimson Comets,Silverleaf Sentinels,Golden Griffins
1963,470325.45,507374.98,204490.48,408161.98
1964,457617.33,782773.53,359888.28,549878.1
1965,500000.0,674654.42,527038.61,587823.29
1966,440535.53,702619.43,776737.44,390145.83
1967,500000.0,796243.92,571034.64,530452.92
1968,500000.0,677736.42,598522.02,699308.0
1969,500000.0,991073.09,798448.85,392092.01
1970,500000.0,915341.31,1016340.41,411037.18
1971,186330.65,1116747.89,947071.94,563687.29
1972,500000.0,1228442.71,770561.04,460604.77
1973,500000.0,1413196.81,989996.12,576725.35
