Sports and Entertainment,Social Media Followers,followers
trend,random_on_off_stable,exponential_falling,random_on_off_stable
Year,@CrimsonCometsOfficial,@IronwoodInvincibles,@ApexAthletics
2000,12813494.74,11587787.89,7541920.33
2001,10476243.16,10717877.9,9855200.77
2002,10000000.0,7322907.76,10000000.0
2003,5030778.12,8533724.5,2121392.23
2004,10000000.0,5522605.45,10000000.0
2005,10000000.0,6353780.49,10000000.0
2006,6302368.91,3482497.47,10000000.0
2007,11877948.41,4765463.04,10141305.14
2008,7379032.28,3275935.92,10000000.0
2009,10000000.0,4885232.33,10000000.0
2010,3705937.25,5919962.11,10000000.0
