Tourism and Hospitality,Luggage Loss Rate,%
trend,periodic_stable,random_on_off_stable,volatile_falling,volatile_falling,periodic_stable,volatile_falling
Year,Bus Stations,International Terminals,High-Speed Trains,Shared Ride,Ferry Services,Car Rentals
1991,1.46,1.42,1.42,1.28,1.47,1.59
1992,1.82,1.69,1.27,1.41,1.85,1.42
1993,1.71,1.56,1.4,1.51,1.71,1.46
1994,1.43,1.5,1.23,1.29,1.29,1.07
1995,1.05,0.89,1.2,0.91,1.13,1.07
1996,1.46,1.5,1.44,1.12,1.59,1.01
1997,1.77,1.5,1.16,1.02,1.76,1.01
1998,1.72,1.5,0.96,0.6,1.75,1.14
1999,1.29,1.28,0.35,1.06,1.34,0.75
2000,1.16,1.5,0.82,0.65,1.09,0.64
2001,1.42,1.5,0.52,0.66,1.57,0.63
2002,1.83,1.5,0.43,0.19,1.95,0.58
2003,1.75,0.18,0.36,0.48,1.69,0.48
2004,1.19,1.5,0.46,0.43,1.25,0.73
2005,1.12,1.5,0.02,0.22,1.08,0.38
2006,1.64,1.5,0.45,0.01,1.5,0.01
2007,1.86,1.33,0.01,0.01,1.95,0.01
2008,1.8,1.6,0.01,0.16,1.61,0.13
2009,1.33,1.5,0.15,0.06,1.26,0.01
2010,1.25,1.17,0.01,0.01,1.16,0.01
2011,1.41,1.5,0.01,0.01,1.51,0.01
2012,1.87,1.5,0.01,0.01,1.85,0.01
2013,1.65,1.5,0.01,0.01,1.77,0.01
2014,1.24,1.5,0.01,0.01,1.23,0.01
