Healthcare and Health,Average Treatment Cost,$
trend,stable_falling,volatile_rising
Year,Emergency Procedure,Chronic Care Program
1975,4761.44,4514.74
1976,5499.73,5063.17
1977,5626.85,5731.16
1978,5692.55,5320.52
1979,5690.04,7445.99
1980,5788.19,6372.54
1981,5533.98,6839.75
1982,6386.17,7599.74
1983,6640.51,8088.5
1984,6361.34,8702.07
1985,6571.24,9456.18
1986,6649.34,9225.95
1987,7110.79,9782.52
1988,7500.27,11078.69
1989,6682.53,10502.65
1990,7095.11,10779.59
1991,7591.98,10432.11
1992,8220.71,11855.09
1993,7288.64,12537.75
1994,7632.21,12008.98
1995,7622.31,12813.72
1996,8200.31,12626.08
1997,8468.72,13119.04
1998,8547.93,14416.03
1999,8431.61,14945.52
2000,8406.63,14650.97
2001,8871.6,15825.28
2002,9206.23,16223.01
