Business and Finance,Market Share,%
trend,exponential_falling,periodic_stable,volatile_falling
Year,Apex Systems,Aegis Corp,Starlight Innovations
1966,17.52,20.08,20.53
1967,18.19,24.73,17.54
1968,15.45,22.29,16.87
1969,15.49,16.63,19.11
1970,14.21,14.96,19.17
1971,11.39,19.53,14.05
1972,12.15,25.17,11.61
1973,8.75,22.73,10.68
1974,7.33,17.56,9.54
1975,6.88,16.5,9.2
1976,5.72,21.41,6.06
1977,7.75,24.87,5.75
1978,8.49,22.75,7.65
1979,6.41,18.84,1.31
1980,0.83,15.08,6.3
1981,4.15,20.25,0.2
1982,5.58,24.94,2.35
1983,2.8,22.79,0.2
1984,0.33,17.66,0.2
1985,2.16,13.72,0.2
1986,1.72,19.95,0.2
1987,0.2,24.88,0.2
