Agriculture and Food Production,Organic Farming Area,hectares
trend,stable_falling,exponential_falling,stable_rising,exponential_falling
Year,Ironwood Ranch,Golden Harvest Cooperative,Misty Meadow Acres,Whispering Willows Estate
1965,739.74,843.03,1034.71,714.21
1966,1059.27,1079.0,795.56,856.69
1967,956.16,738.37,1241.87,792.63
1968,1056.85,487.55,1321.0,360.36
1969,991.92,585.09,1281.68,518.41
1970,994.22,560.82,1063.24,703.3
1971,764.99,551.06,1384.51,438.66
1972,1203.46,504.72,1069.37,446.05
1973,1489.52,395.4,1436.71,465.44
1974,1474.42,445.08,1470.84,193.46
1975,1285.04,384.94,1426.4,422.15
1976,1403.11,375.1,1567.11,332.16
1977,1275.27,368.77,1635.48,10.0
1978,1482.76,201.68,1622.73,224.18
1979,1200.0,176.88,1778.41,282.91
1980,1462.04,20.19,1759.32,167.41
1981,1622.36,268.33,1766.42,10.0
1982,1391.67,141.48,1738.04,72.04
1983,1576.43,52.55,1889.97,37.9
1984,1740.8,346.73,1880.29,256.5
1985,1900.46,151.58,2086.18,103.14
1986,1637.4,256.45,1675.24,10.0
1987,1565.15,76.25,2096.06,372.67
1988,1984.08,318.47,2235.42,47.51
1989,1660.07,145.89,2334.98,365.88
1990,1864.86,330.07,2069.26,10.0
1991,1816.99,28.2,2503.25,15.6
1992,1982.95,116.86,2192.83,286.21
1993,1740.47,229.88,2398.46,10.0
1994,1951.23,10.0,2453.47,341.14
