Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Crop Production,23.85
Crop Production,Oilseeds,14.58
Oilseeds,Soybean,9.47
Oilseeds,Canola,5.11
Crop Production,Grains,9.27
Root,Agricultural Inputs,52.03
Agricultural Inputs,Seeds,44.42
Seeds,Heirloom Seeds,19.29
Heirloom Seeds,Chili Pepper,10.71
Heirloom Seeds,Tomato,8.58
Seeds,Hybrid Seeds,25.13
Hybrid Seeds,Maize Hybrids,17.37
Hybrid Seeds,Vegetable Hybrids,7.76
Agricultural Inputs,Fertilizers,7.61
Fertilizers,Nitrogen,7.61
Nitrogen,Urea,7.61
Root,Livestock,24.11
Livestock,Cattle,24.11
