Business and Finance,Business Distribution by Category (2021),%
parent,child,value
Root,Corporate Strategy,31.11
Corporate Strategy,Innovation Strategy,18.13
Innovation Strategy,Process Innovation,10.59
Innovation Strategy,Product Innovation,7.54
Corporate Strategy,Growth Models,12.98
Growth Models,Mergers & Acquisitions,5.55
Growth Models,Market Expansion,7.43
Root,Digital Transformation,30.74
Digital Transformation,Technology Adoption,19.16
Technology Adoption,AI Integration,19.16
AI Integration,AI-Powered Insights,5.68
AI Integration,Chatbots,7.41
AI Integration,Predictive Analytics,6.06
Digital Transformation,Data Strategy,11.58
Root,Financial Management,38.15
Financial Management,Budgeting & Planning,38.15
