Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Livestock,56.12
Livestock,Cattle,13.09
Cattle,Beef,7.94
Cattle,Dairy,5.15
Livestock,Poultry,43.03
Poultry,Broilers,32.61
Broilers,Intensive,13.57
Broilers,Free-Range,19.04
Poultry,Egg Layers,10.42
Egg Layers,Caged,5.38
Egg Layers,Cage-Free,5.04
Root,Agricultural Inputs,23.06
Agricultural Inputs,Fertilizers,6.62
Fertilizers,Organic,6.62
Organic,Manure,6.62
Agricultural Inputs,Seeds,16.44
Root,Crop Production,20.82
Crop Production,Grains,20.82
