Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Life Sciences,25.64
Life Sciences,Neuroscience,13.12
Neuroscience,Brain Function,5.12
Neuroscience,Neural Networks,8.0
Life Sciences,Biology,12.52
Biology,Ecology,6.71
Biology,Genetics,5.81
Root,Physical Sciences,50.16
Physical Sciences,Physics,27.28
Physics,Quantum Physics,27.28
Quantum Physics,Entanglement,12.07
Quantum Physics,Quantum Measurement,7.84
Quantum Physics,Quantum Fields,7.37
Physical Sciences,Chemistry,22.88
Root,Applied Sciences,24.2
Applied Sciences,Engineering,24.2
