Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Development,35.01
Employee Development,Performance Management,9.97
Employee Development,Training Programs,25.04
Training Programs,Skill Workshops,9.78
Training Programs,Online Learning,15.26
Online Learning,Certifications,5.2
Online Learning,LMS Platforms,5.06
Online Learning,Self-paced Modules,5.0
Root,Employee Lifecycle,20.64
Employee Lifecycle,Recruitment,5.93
Employee Lifecycle,Onboarding,14.71
Onboarding,Mentorship,8.45
Onboarding,Orientation,6.26
Root,Workplace Wellbeing,44.35
Workplace Wellbeing,Work-Life Balance,44.35
Work-Life Balance,Flexible Scheduling,44.35
Flexible Scheduling,Remote Work,9.5
Flexible Scheduling,Hybrid Options,34.85
