Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Destination Types,38.82
Destination Types,Urban Tourism,16.91
Urban Tourism,Shopping Districts,6.29
Urban Tourism,City Landmarks,10.62
Destination Types,Nature Tourism,21.91
Nature Tourism,Mountain Destinations,13.89
Nature Tourism,Coastal Areas,8.02
Root,Hospitality Services,35.36
Hospitality Services,Dining Experiences,21.13
Dining Experiences,Local Cuisine,21.13
Local Cuisine,Street Food,10.36
Local Cuisine,Traditional Restaurants,5.06
Local Cuisine,Cultural Dining Events,5.71
Hospitality Services,Lodging Options,14.23
Root,Travel Services,25.82
Travel Services,Guided Tours,25.82
