Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,50.77
Cultural Participation,Art Festivals,29.36
Art Festivals,International Events,20.87
International Events,Cultural Diplomacy Days,6.01
International Events,Biennale Showcases,9.57
International Events,Global Film Weeks,5.29
Art Festivals,Local Festivals,8.49
Cultural Participation,Heritage Engagement,21.41
Heritage Engagement,Museum Visits,9.19
Heritage Engagement,Site Tours,12.22
Site Tours,Historic Villages,5.01
Site Tours,Ancient Temples,7.21
Root,Digital Culture,20.19
Digital Culture,Streaming Culture,7.25
Streaming Culture,Live Performances,7.25
Digital Culture,Online Exhibitions,12.94
Root,Creative Expression,29.04
Creative Expression,Visual Arts,29.04
