Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,User Engagement,27.27
User Engagement,Sharing and Virality,14.95
Sharing and Virality,Memes,9.67
Sharing and Virality,Reposts,5.28
User Engagement,Reactions and Comments,12.32
Reactions and Comments,Comments,7.25
Reactions and Comments,Likes,5.07
Root,Platforms,41.53
Platforms,Messaging Apps,24.6
Messaging Apps,WhatsApp,24.6
WhatsApp,Channels,11.31
WhatsApp,Status,13.29
Platforms,Social Networks,16.93
Root,Content Creation,31.2
Content Creation,Video Platforms,31.2
