Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Rental Market,40.44
Rental Market,Short-Term Rentals,25.63
Short-Term Rentals,Vacation Homes,15.37
Vacation Homes,Beachfront,5.1
Vacation Homes,Mountain Cabins,5.25
Vacation Homes,City Condos,5.02
Short-Term Rentals,Platforms,10.26
Platforms,Booking.com,5.0
Platforms,Airbnb Listings,5.26
Rental Market,Long-Term Rentals,14.81
Long-Term Rentals,Houses for Rent,7.69
Long-Term Rentals,Apartments,7.12
Root,Residential Property,31.9
Residential Property,Single Family Homes,23.5
Single Family Homes,Detached,23.5
Residential Property,Multi-Family Homes,8.4
Root,Commercial Real Estate,27.67
Commercial Real Estate,Office Buildings,27.67
