Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Content Creation,55.71
Content Creation,Video Platforms,41.13
Video Platforms,YouTube,13.9
Video Platforms,TikTok,27.23
TikTok,Duets,9.74
TikTok,Challenges,8.16
TikTok,Brand Collaborations,9.33
Content Creation,Podcasting,14.58
Podcasting,Apple Podcasts,9.54
Podcasting,Spotify,5.04
Root,Platforms,24.14
Platforms,Messaging Apps,6.88
Messaging Apps,Telegram,6.88
Platforms,Social Networks,17.26
Root,User Engagement,20.14
User Engagement,Sharing and Virality,20.14
