Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Content Creation,31.26
Content Creation,Podcasting,12.63
Podcasting,Apple Podcasts,5.04
Podcasting,Spotify,7.59
Content Creation,Video Platforms,18.63
Video Platforms,TikTok,9.78
Video Platforms,YouTube,8.85
Root,Platforms,47.67
Platforms,Messaging Apps,36.29
Messaging Apps,WhatsApp,36.29
WhatsApp,Status,9.87
WhatsApp,Channels,26.42
Platforms,Social Networks,11.38
Root,User Engagement,21.07
User Engagement,Sharing and Virality,21.07
