Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Residential Property,38.05
Residential Property,Single Family Homes,10.4
Single Family Homes,Detached,5.01
Single Family Homes,Semi-Detached,5.39
Residential Property,Multi-Family Homes,27.65
Multi-Family Homes,Apartments,21.87
Apartments,Mid-Rise,5.77
Apartments,High-Rise,6.9
Apartments,Low-Rise,9.2
Multi-Family Homes,Duplex,5.78
Root,Commercial Real Estate,20.45
Commercial Real Estate,Retail Spaces,14.99
Retail Spaces,Shopping Centers,14.99
Shopping Centers,Outlet Centers,8.29
Shopping Centers,Strip Malls,6.7
Commercial Real Estate,Office Buildings,5.46
Root,Rental Market,41.5
Rental Market,Short-Term Rentals,41.5
