Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Urban Mobility,22.85
Urban Mobility,Public Transit,6.69
Urban Mobility,Micromobility,16.16
Micromobility,Bike Sharing,9.3
Micromobility,E-Scooters,6.86
Root,Air Transport,31.82
Air Transport,Air Cargo,13.77
Air Cargo,Logistics Platforms,8.54
Air Cargo,Cargo Airlines,5.23
Air Transport,Commercial Airlines,18.05
Commercial Airlines,Passenger Flights,18.05
Passenger Flights,Low-Cost Carriers,5.42
Passenger Flights,International Routes,6.7
Passenger Flights,Domestic Airlines,5.93
Root,Freight and Logistics,45.32
Freight and Logistics,Rail Freight,45.32
