Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Air Transport,44.93
Air Transport,Commercial Airlines,37.86
Commercial Airlines,Passenger Flights,14.35
Commercial Airlines,Airport Infrastructure,23.51
Airport Infrastructure,Air Traffic Control,5.06
Airport Infrastructure,Runways,6.42
Airport Infrastructure,Passenger Terminals,12.04
Air Transport,Air Cargo,7.07
Root,Urban Mobility,30.65
Urban Mobility,Public Transit,6.43
Urban Mobility,Micromobility,24.22
Micromobility,E-Scooters,18.65
E-Scooters,Rental Platforms,7.21
E-Scooters,Safety Standards,11.44
Micromobility,Bike Sharing,5.57
Root,Freight and Logistics,24.42
Freight and Logistics,Rail Freight,24.42
Rail Freight,Cargo Trains,24.42
