Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Sports Media and Tech,40.39
Sports Media and Tech,Sports Technology,28.61
Sports Technology,Analytics Tools,13.4
Analytics Tools,Performance Analysis,7.08
Analytics Tools,Tactical Modeling,6.32
Sports Technology,Wearables,15.21
Wearables,Heart Rate Monitors,8.71
Wearables,Fitness Trackers,6.5
Sports Media and Tech,Live Broadcasting,11.78
Live Broadcasting,Online Streaming,6.14
Online Streaming,Twitch Coverage,6.14
Live Broadcasting,Television Coverage,5.64
Root,Fitness and Wellness,28.16
Fitness and Wellness,Personal Training,21.35
Personal Training,Gym Workouts,21.35
Fitness and Wellness,Outdoor Activities,6.81
Root,Competitive Sports,31.45
Competitive Sports,Individual Sports,31.45
