Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Consumption,50.56
Energy Consumption,Industrial,15.56
Industrial,Mining,5.05
Industrial,Manufacturing,10.51
Manufacturing,Cement Kilns,5.1
Manufacturing,Steel Production,5.41
Energy Consumption,Residential,35.0
Residential,Appliances,8.24
Residential,Heating,26.76
Heating,Electric Heating,9.25
Heating,Gas Heating,17.51
Root,Energy Infrastructure,21.22
Energy Infrastructure,Transmission,9.49
Transmission,Smart Grids,9.49
Smart Grids,Sensors,9.49
Energy Infrastructure,Generation,11.73
Root,Energy Sources,28.22
Energy Sources,Fossil Fuels,28.22
